City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,al kharijah,25.4514,30.5464,78.42,35,20,11.97,EG,1696209817
393,mogadishu,2.0371,45.3438,78.28,83,22,13.56,SO,1696209585
394,rundu,-17.9333,19.7667,71.01,19,0,5.44,NA,1696209817
395,tongouson,5.0214,120.1328,83.39,78,100,16.78,PH,1696209817
396,cidreira,-30.1811,-50.2056,55.42,70,0,5.66,BR,1696209817
397,levuka,50.1834,-105.4011,53.42,88,100,9.75,CA,1696209818
398,pangoa,-12.1167,-73.0,71.1,90,100,3.04,PE,1696209796
399,kalach-na-donu,48.691,43.5264,59.23,55,99,5.39,RU,1696209818
400,gulf shores,30.246,-87.7008,80.01,68,0,3.44,US,1696209818
401,kungur,57.4368,56.9593,52.79,67,56,14.41,RU,1696209818
402,temiskaming shores,47.4938,-79.7153,58.8,83,100,3.04,CA,1696209818
403,bardai,11.65,7.2333,72.09,84,100,7.18,NG,1696209818
404,kuqa,41.7278,82.9364,62.78,39,6,2.24,CN,1696209818
405,calama,-22.4667,-68.9333,61.29,14,0,6.91,CL,1696209818
406,fuyang,32.9,115.8167,62.96,89,100,4.76,CN,1696209818
407,olyokminsk,60.3736,120.4264,41.68,83,100,11.9,RU,1696209818
408,el granada,37.5027,-122.4694,73.04,72,0,14.97,US,1696209819
409,aasiaat,68.7098,-52.8699,19.35,79,8,7.92,GL,1696209819
410,catarama,-1.5833,-79.4667,80.22,67,99,2.53,EC,1696209819
411,san rafael del sur,11.8485,-86.4384,81.57,82,82,5.14,NI,1696209819
412,cururupu,-1.8283,-44.8683,76.37,87,9,4.63,BR,1696209819
413,minas de marcona,-15.2119,-75.1103,58.41,84,61,10.87,PE,1696209819
414,richards bay,-28.783,32.0377,63.41,64,96,3.94,ZA,1696209819
415,eleskirt,39.8033,42.6736,50.63,82,100,4.09,TR,1696209774
416,castillos,-34.1667,-53.8333,48.13,84,40,5.82,UY,1696209820
417,hafar al-batin,28.4328,45.9708,79.38,22,0,4.61,SA,1696209820
418,caminauit,12.3314,121.0825,82.78,79,100,4.63,PH,1696209821
419,santa rosa de osos,6.6474,-75.4603,57.87,97,100,0.96,CO,1696209821
420,vilhena,-12.7406,-60.1458,73.67,85,98,3.51,BR,1696209821
421,amherst,41.3978,-82.2224,68.52,89,0,0.0,US,1696209811
422,marand,38.4329,45.7749,60.03,63,3,6.02,IR,1696209821
423,nizao,18.25,-70.2,83.35,83,100,12.33,DO,1696209821
424,rosales,15.8944,120.6328,80.49,87,100,2.53,PH,1696209821
425,crane,31.3974,-102.3501,79.52,52,3,22.26,US,1696209821
426,bunol,39.4167,-0.7833,69.08,63,6,2.01,ES,1696209821
427,san juan,-31.5375,-68.5364,72.19,25,0,4.88,AR,1696209821
428,blythe,33.6103,-114.5964,73.85,49,100,11.5,US,1696209543
429,reggane,26.7158,0.1714,86.7,27,0,21.25,DZ,1696209821
430,capao da canoa,-29.7456,-50.0097,54.59,77,0,4.76,BR,1696209822
431,gorey,52.6747,-6.2925,56.48,89,100,5.86,IE,1696209822
432,pompeu,-19.2244,-44.9353,68.74,83,100,2.46,BR,1696209822
433,houghton,47.1219,-88.569,69.64,96,0,3.44,US,1696209565
434,bubaque,11.2833,-15.8333,82.4,82,100,9.31,GW,1696209822
435,bolobo,-2.1667,16.2333,74.21,90,36,0.94,CD,1696209822
436,katsuren-haebaru,26.3369,127.8719,88.57,67,40,19.57,JP,1696209822
437,north bend,43.4065,-124.2243,64.24,77,0,16.11,US,1696209700
438,loikaw,19.6742,97.2094,69.62,99,99,3.11,MM,1696209822
439,smithers,54.7804,-127.1743,46.72,93,100,0.0,CA,1696209822
440,portage la prairie,49.9728,-98.2926,64.89,68,88,9.66,CA,1696209604
441,malango,-2.9627,119.9001,79.5,60,100,2.71,ID,1696209822
442,nelson bay,-32.7167,152.15,73.99,61,0,5.99,AU,1696209822
443,rusape,-18.5278,32.1284,63.27,83,91,10.25,ZW,1696209823
444,dzhangala,49.2167,50.3333,56.12,59,87,7.2,KZ,1696209823
445,tansen,27.8673,83.5467,64.53,93,99,2.68,NP,1696209823
446,madalena,41.2162,-8.3345,69.46,68,6,1.5,PT,1696209823
447,ponta delgada,37.7333,-25.6667,68.72,73,20,13.8,PT,1696209823
448,flying fish cove,-10.4217,105.6791,76.68,78,75,13.8,CX,1696209823
449,xapuri,-10.6517,-68.5044,76.42,86,100,2.73,BR,1696209823
450,moranbah,-22.0016,148.0466,80.98,35,0,13.2,AU,1696209823
451,ekibastuz,51.6667,75.3667,43.56,88,43,6.76,KZ,1696209823
452,arawa,-6.2132,155.5367,84.92,80,100,3.6,PG,1696209824
453,rizhao,35.4275,119.4553,68.04,53,100,2.73,CN,1696209824
454,choibalsan,48.0667,114.5,54.55,35,100,5.86,MN,1696209824
455,thompson,55.7435,-97.8558,37.56,100,100,10.36,CA,1696209824
456,mejit,10.2753,170.8646,83.07,77,99,14.07,MH,1696209824
457,tomohon,1.3346,124.8392,81.54,47,28,2.53,ID,1696209824
458,barkhan,29.8977,69.5256,64.96,14,0,5.35,PK,1696209824
459,talcahuano,-36.7167,-73.1167,53.28,58,100,5.75,CL,1696209824
460,prado,-17.3411,-39.2208,71.4,79,15,6.26,BR,1696209824
461,new plymouth,-39.0667,174.0833,58.8,92,100,18.14,NZ,1696209774
462,nar'yan-mar,67.6713,53.087,51.12,96,82,8.01,RU,1696209824
463,zeliezovce,48.0508,18.6542,56.79,67,47,1.63,SK,1696209825
464,padang,-0.9492,100.3543,82.45,87,100,4.45,ID,1696209825
465,karatau,43.1667,70.4667,54.39,47,74,3.85,KZ,1696209825
466,zunyi,27.6867,106.9072,69.82,92,98,4.56,CN,1696209825
467,prymors'k,46.7348,36.3443,66.42,49,63,9.01,UA,1696209825
468,batumi,41.6416,41.6359,66.18,94,75,10.36,GE,1696209825
469,alesund,62.4723,6.1549,57.76,88,75,17.27,NO,1696209825
470,bonanza,14.0289,-84.591,74.53,99,91,1.16,NI,1696209825
471,tres arroyos,-38.3739,-60.2798,49.64,60,23,10.42,AR,1696209825
472,saudarkrokur,65.7461,-19.6394,43.32,93,100,10.42,IS,1696209826
473,serang,-6.1149,106.1502,82.67,62,63,3.67,ID,1696209826
474,puerto san jose,13.9256,-90.8244,82.2,77,100,1.9,GT,1696209826
475,aginskoye,51.1,114.53,52.27,42,100,1.59,RU,1696209826
